Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
   0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
   1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]   1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 37%|██████████████████████▉                                       | 72/195 [05:23<06:28,  3.16s/it] 37%|███████████████████████▏                                      | 73/195 [05:30<08:46,  4.31s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 78 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 38%|███████████████████████▌                                      | 74/195 [05:32<07:19,  3.63s/it] 38%|███████████████████████▊                                      | 75/195 [05:33<05:40,  2.84s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 80 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 39%|████████████████████████▏                                     | 76/195 [05:34<04:30,  2.28s/it] 39%|████████████████████████▍                                     | 77/195 [05:37<04:53,  2.49s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 82 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 40%|████████████████████████▊                                     | 78/195 [05:48<09:53,  5.07s/it] 41%|█████████████████████████                                     | 79/195 [05:52<08:57,  4.64s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 84 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 41%|█████████████████████████▍                                    | 80/195 [05:55<08:11,  4.27s/it] 42%|█████████████████████████▊                                    | 81/195 [05:59<08:00,  4.21s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 86 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 42%|██████████████████████████                                    | 82/195 [06:07<10:00,  5.31s/it] 43%|██████████████████████████▍                                   | 83/195 [06:13<10:23,  5.57s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 88 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 43%|██████████████████████████▋                                   | 84/195 [06:14<07:41,  4.16s/it] 44%|███████████████████████████                                   | 85/195 [06:21<09:01,  4.92s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 90 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 44%|███████████████████████████▎                                  | 86/195 [06:26<09:12,  5.07s/it] 45%|███████████████████████████▋                                  | 87/195 [06:35<11:13,  6.24s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 92 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 45%|███████████████████████████▉                                  | 88/195 [06:42<11:08,  6.25s/it] 46%|████████████████████████████▎                                 | 89/195 [06:48<11:04,  6.26s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 94 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 46%|████████████████████████████▌                                 | 90/195 [06:55<11:24,  6.52s/it] 47%|████████████████████████████▉                                 | 91/195 [06:56<08:31,  4.92s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 96 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 47%|█████████████████████████████▎                                | 92/195 [07:06<10:44,  6.26s/it] 48%|█████████████████████████████▌                                | 93/195 [07:06<07:50,  4.62s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 98 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 48%|█████████████████████████████▉                                | 94/195 [07:07<05:49,  3.46s/it] 49%|██████████████████████████████▏                               | 95/195 [07:08<04:33,  2.74s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 100 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 49%|██████████████████████████████▌                               | 96/195 [07:15<06:38,  4.03s/it] 50%|██████████████████████████████▊                               | 97/195 [07:16<05:01,  3.08s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 102 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
